"Project Lead","Institution","Approved_Date","year","month_str","month_int"
"Investigating the Role and Mechanism of Metabolic Reprogramming in Rheumatoid Arthritis Progression Based on Single-Cell Sequencing","Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine","9/20/2024",2024,"Sep",9
"Yevgeniya Gartshteyn","Columbia University","9/6/2024",2024,"Sep",9
"Thomas Yu","Sage Bionetworks","9/5/2024",2024,"Sep",9
"Ian McDowell","UCB Biopharma SRL","8/23/2024",2024,"Aug",8
"Olivia Lazaro","Indiana Biosciences Research Institute","8/23/2024",2024,"Aug",8
"Woogil Song","KAIST (Korea Advanced Institute of Science and Technology)","8/14/2024",2024,"Aug",8
"Kentaro Yomogida","University of Colorado","7/26/2024",2024,"Jul",7
"Chenyang Lu","Sun Yet-sen University","7/25/2024",2024,"Jul",7
"Arnold Han","Columbia University Irving Medical Center","7/12/2024",2024,"Jul",7
"Colin Logie","Radboud University, Nijmegen, The Netherlands","7/12/2024",2024,"Jul",7
"Kewei Rong","Shanghai Jiaotong University School of Medicine","7/12/2024",2024,"Jul",7
"Chunhao Cao","School of Chinese Medicine, Hong Kong Baptist University, Hong Kong, Hong Kong SAR, China","6/21/2024",2024,"Jun",6
"Dr. Ge Gao","Peking University","6/21/2024",2024,"Jun",6
"Dr. Mengtao Li","Peking Union Medical College Hospital","6/21/2024",2024,"Jun",6
"Dr. Jennifer Elisseeff","Johns Hopkins University","6/13/2024",2024,"Jun",6
"Kazuyoshi Ishigaki","RIKEN Center for Integrative Medical Sciences","6/13/2024",2024,"Jun",6
"Chiara Romagnani","Charite Medical University Berlin","5/29/2024",2024,"May",5
"Nisarg Shah","University of California, San Diego","5/29/2024",2024,"May",5
"Hao Liu","West China Hospital of Sichuan University, China","5/13/2024",2024,"May",5
"Julia Frede","German Cancer Consortium (DKTK) and the University Hospital of LMU Munich, Germany.","5/13/2024",2024,"May",5
"Ian Mantel","Weill Cornell Medical College","5/10/2024",2024,"May",5
"Vincent Wong","Macau University of Science and Technology","5/8/2024",2024,"May",5
"Rebecca Panitch","Watershed Informatics","5/8/2024",2024,"May",5
"Thomas Backus","Mass General Brigham","5/2/2024",2024,"May",5
"Jonathan Derry","Iris Bioconsulting LLC","5/2/2024",2024,"May",5
"Wanling Yang","The University of Hong Kong","4/12/2024",2024,"Apr",4
"Takako Chikenji","Department of Health Sciences, Hokkaido University","4/5/2024",2024,"Apr",4
"Christopher Buckley","University of Oxford","4/2/2024",2024,"Apr",4
"Erfan Ghasemi","University of Alberta","3/25/2024",2024,"Mar",3
"Jean-Philippe Vert","Owkin","3/21/2024",2024,"Mar",3
"Gary Reynolds","Mass General Brigham","3/15/2024",2024,"Mar",3
"Koshiro Sonomoto","University of Occupational and Environmental Health, Japan","3/11/2024",2024,"Mar",3
"Thierry Sornasse","Abbvie Inc","3/11/2024",2024,"Mar",3
"Liye Chen","University of Oxford","3/7/2024",2024,"Mar",3
"Antonio JuliÃ","IMIDomics, Inc","2/19/2024",2024,"Feb",2
"Somkiat Phutinart","Faculty of Medicine, Chulalongkorn University","2/16/2024",2024,"Feb",2
"Frank Cheng","Sonoma Biotherapeutics","2/16/2024",2024,"Feb",2
"M Huang","Tsinghua University","2/2/2024",2024,"Feb",2
"Minghui Wang","Icahn School of Medicine at Mount Sinai","1/29/2024",2024,"Jan",1
"Congmin  Xu","BioMap","1/23/2024",2024,"Jan",1
"James Wingrove","Cellworks","12/15/2023",2023,"Dec",12
"Yu-yu Ren","Anaptysbio","12/15/2023",2023,"Dec",12
"Chunhao Cao","School of Chinese Medicine, Hong Kong Baptist University, Hong Kong, Hong Kong SAR, China","12/8/2023",2023,"Dec",12
"Shiquan Sun","Center for Single-Cell Omics and Health, Xi'an Jiaotong University","12/4/2023",2023,"Dec",12
"Daniel Wells","Santa Ana Bio","11/16/2023",2023,"Nov",11
"Mike Stadler","Arda Therapeutics","11/16/2023",2023,"Nov",11
"Sumanta Ray","University of Bielefeld","10/16/2023",2023,"Oct",10
"Mark Lazarus","AstraZeneca","9/18/2023",2023,"Sep",9
"Dr Aidan MacNamara","Bayer AG","6/27/2023",2023,"Jun",6
"Joel Guthridge","Oklahoma Medical Research Foundation","3/27/2023",2023,"Mar",3
"Patrick M. Gaffney, PhD","Oklahoma Medical Research Foundation","2/9/2023",2023,"Feb",2
"Philip De Jager","Columbia University","2/1/2023",2023,"Feb",2
"Baohong Zhao","Hospital For Special Surgery","1/7/2026",2026,"Jan",1
"Tomohisa Okamura","The University of Tokyo, Allergy and Rheumatology","1/5/2026",2026,"Jan",1
"Preeyam Patel","Spyre Therapeutics","12/19/2025",2025,"Dec",12
"James Wing","Immunology Frontier Research Center, The University of Osaka","12/19/2025",2025,"Dec",12
"Chiara Romagnani","Charite Medical University Berlin","12/19/2025",2025,"Dec",12
"John Tsang","Yale University","12/15/2025",2025,"Dec",12
"Inez den Hond","Technical University Delft (Pattern Recognition and Bioinformatics)","12/15/2025",2025,"Dec",12
"Mohamed Mysara","Cairo University","12/9/2025",2025,"Dec",12
"Adrian Grzybowski","AnuBio","12/9/2025",2025,"Dec",12
"Kamalika Roychoudhury","ThinkBio.Ai","12/4/2025",2025,"Dec",12
"Virginia Pascual","Weill Cornell Medicine","12/4/2025",2025,"Dec",12
"Inigo Martincorena","Wellcome Sanger Institute","12/2/2025",2025,"Dec",12
"Thierry Sornasse","AbbVie","3/9/2026",2026,"Mar",3
"Jenna Pappalardo","Arcus Biosciences","3/9/2026",2026,"Mar",3
"Chinky Liu","Boston Children's Hospital","3/6/2026",2026,"Mar",3
"Rui Wu","First Affiliated Hospital of Nanchang University, Jiangxi Medical College","3/2/2026",2026,"Mar",3
"Jaehyuk Choi","UT Southwestern Medical Center (Cellular Therapies and Cancer Immunotherapy)","2/24/2026",2026,"Feb",2
"Marinka Zitnik","Harvard University","2/23/2026",2026,"Feb",2
"Justyna Dopierala","Nucleome Therapeutics","2/19/2026",2026,"Feb",2
"Yang Yang","Boston Children's Hospital","2/12/2026",2026,"Feb",2
"Rachel Sparks","AstraZeneca","2/10/2026",2026,"Feb",2
"Dr U Vinay Kumar","Poornima University, Jaipur, India","2/6/2026",2026,"Feb",2
"Jeremy Tilstra","University of Pittsburgh","2/6/2026",2026,"Feb",2
"Rasa Elmentaite","Ensocell Therapeutics","2/6/2026",2026,"Feb",2
"Kathryn Yost","NorthPort Bio Ltd","2/6/2026",2026,"Feb",2
